阿魏,a'wei
肝气犯胃,gan'qi'fan'wei
肝气犯胃证,gan'qi'fan'wei'zheng
肝气横逆,gan'qi'heng'ni
肝气郁结,gan'qi'yu'jie
肝气郁结气滞血瘀证,gan'qi'yu'jie'qi'zhi'xue'yu'zheng
肝气郁结证,gan'qi'yu'jie'zheng
肝气郁滞,gan'qi'yu'zhi
肝气郁滞证,gan'qi'yu'zhi'zheng
疳气证,gan'qi'zheng
肝热病,gan're'bing
肝热上扰证,gan're'shang'rao'zheng
肝热生风急煎尝,gan're'sheng'feng'ji'jian'chang
感伤健眼证,gan'shang'jian'yan'zheng
肝肾不足证,gan'shen'bu'zu'zheng
肝肾亏损证,gan'shen'kui'sun'zheng
肝肾亏虚髓枯筋痿证,gan'shen'kui'xu'sui'ku'jin'wei'zheng
肝肾亏虚阴血不足证,gan'shen'kui'xu'yin'xue'bu'zu'zheng
肝肾亏虚证,gan'shen'kui'xu'zheng
肝肾两亏证,gan'shen'liang'kui'zheng
肝肾两虚约束无权证,gan'shen'liang'xu'yue'shu'wu'quan'zheng
肝肾两虚证,gan'shen'liang'xu'zheng
肝肾阴虚,gan'shen'yin'xu
肝肾阴虚风阳上扰证,gan'shen'yin'xu'feng'yang'shang'rao'zheng
肝肾阴虚肝阳上亢证,gan'shen'yin'xu'gan'yang'shang'kang'zheng
肝肾阴虚证,gan'shen'yin'xu'zheng
干石斛,gan'shi'hu
甘松,gan'song
甘松香,gan'song'xiang
甘遂,gan'sui
感特灵胶囊,gan'te'ling'jiao'nang
肝旺脾困证,gan'wang'pi'kun'zheng
肝旺脾弱,gan'wang'pi'ruo
肝旺脾虚证,gan'wang'pi'xu'zheng
肝胃不和,gan'wei'bu'he
肝胃不和证,gan'wei'bu'he'zheng
肝胃气滞证,gan'wei'qi'zhi'zheng
肝胃虚寒,gan'wei'xu'han
肝胃虚寒饮邪上犯证,gan'wei'xu'han'yin'xie'shang'fan'zheng
肝胃虚寒证,gan'wei'xu'han'zheng
肝胃阴虚证,gan'wei'yin'xu'zheng
肝胃郁热证,gan'wei'yu're'zheng
肝瘟,gan'wen
肝系病类,gan'xi'bing'lei
干陷证,gan'xian'zheng
干胁痛,gan'xie'tong
肝血不足风中脉络证,gan'xue'bu'zu'feng'zhong'mai'luo'zheng
肝血不足外感风邪证,gan'xue'bu'zu'wai'gan'feng'xie'zheng
肝血不足证,gan'xue'bu'zu'zheng
肝血亏虚证,gan'xue'kui'xu'zheng
干血内结证,gan'xue'nei'jie'zheng
肝血虚,gan'xue'xu
肝血虚证,gan'xue'xu'zheng
肝血瘀滞证,gan'xue'yu'zhi'zheng
肝阳暴亢风火上逆证,gan'yang'bao'kang'feng'huo'shang'ni'zheng
肝阳暴亢风火上扰证,gan'yang'bao'kang'feng'huo'shang'rao'zheng
肝阳暴亢证,gan'yang'bao'kang'zheng
肝阳化风痰热上扰证,gan'yang'hua'feng'tan're'shang'rao'zheng
肝阳化风证,gan'yang'hua'feng'zheng
肝阳偏亢,gan'yang'pian'kang
肝阳上亢,gan'yang'shang'kang
肝阳上亢脉络瘀阻证,gan'yang'shang'kang'mai'luo'yu'zu'zheng
肝阳上亢痰邪阻窍证,gan'yang'shang'kang'tan'xie'zu'qiao'zheng
肝阳上亢证,gan'yang'shang'kang'zheng
肝阳上扰证,gan'yang'shang'rao'zheng
肝阳虚证,gan'yang'xu'zheng
干噫食臭,gan'yi'shi'chou
肝阴不足证,gan'yin'bu'zu'zheng
肝阴亏虚证,gan'yin'kui'xu'zheng
肝阴虚证,gan'yin'xu'zheng
肝痈,gan'yong
肝郁不舒证,gan'yu'bu'shu'zheng
肝郁胆热证,gan'yu'dan're'zheng
肝郁化火证,gan'yu'hua'huo'zheng
肝郁化热证,gan'yu'hua're'zheng
肝郁火旺证,gan'yu'huo'wang'zheng
肝郁脾虚,gan'yu'pi'xu
肝郁脾虚证,gan'yu'pi'xu'zheng
肝郁气滞气火上逆证,gan'yu'qi'zhi'qi'huo'shang'ni'zheng
肝郁气滞痰浊阻络证,gan'yu'qi'zhi'tan'zhuo'zu'luo'zheng
肝郁气滞证,gan'yu'qi'zhi'zheng
肝郁肾亏,gan'yu'shen'kui
肝郁肾虚证,gan'yu'shen'xu'zheng
肝郁湿热证,gan'yu'shi're'zheng
肝郁痰火证,gan'yu'tan'huo'zheng
肝郁痰凝证,gan'yu'tan'ning'zheng
肝郁血热证,gan'yu'xue're'zheng
肝郁血虚证,gan'yu'xue'xu'zheng
肝郁血瘀证,gan'yu'xue'yu'zheng
肝郁证,gan'yu'zheng
干燥病,gan'zao'bing
疳肿胀证,gan'zhong'zhang'zheng
肝著,gan'zhu
肝主筋,gan'zhu'jin
肝主谋虑,gan'zhu'mou'lv
肝主疏泄,gan'zhu'shu'xie
杠板,gang'ban
杠板归,gang'ban'gui
肛肠病混合痔病,gang'chang'bing'hun'he'zhi'bing
肛肠病内痔病,gang'chang'bing'nei'zhi'bing
肛肠病外痔病,gang'chang'bing'wai'zhi'bing
肛肠病痔病,gang'chang'bing'zhi'bing
肛裂病,gang'lie'bing
岗梅,gang'mei
肛门湿疡病,gang'men'shi'yang'bing
肛门灼热,gang'men'zhuo're
岗松,gang'song
肛泰栓,gang'tai'shuan
肛痈病,gang'yong'bing
藁本,gao'ben
高风雀目病,gao'feng'que'mu'bing
膏肓,gao'huang
高丽参恒宝,gao'li'shen'heng'bao
高良姜,gao'liang'jiang
高良姜良姜,gao'liang'jiang'liang'jiang
膏淋病,gao'lin'bing
高热伤阴证,gao're'shang'yin'zheng
高原胸痹,gao'yuan'xiong'bi
膏知牛膝麦冬襄,gao'zhi'niu'xi'mai'dong'xiang
葛根,ge'gen
葛根粉,ge'gen'fen
葛根黄芩黄连汤,ge'gen'huang'qin'huang'lian'tang
葛根芩连甘草伍,ge'gen'qin'lian'gan'cao'wu
葛花,ge'hua
蛤蚧,ge'jie
格拒,ge'ju
蛤壳,ge'ke
葛蒲半夏焦山栀,ge'pu'ban'xia'jiao'shan'zhi
膈疝,ge'shan
隔山撬,ge'shan'qiao
咯吐不出,ge'tu'bu'chu
膈下逐瘀汤,ge'xia'zhu'yu'tang
格阳证,ge'yang'zheng
格阴症,ge'yin'zheng
更加知柏成八味,geng'jia'zhi'bai'cheng'ba'wei
梗通草,geng'tong'cao
更用黄芩加姜枣,geng'yong'huang'qin'jia'jiang'zao
更有丹栀逍遥散,geng'you'dan'zhi'xiao'yao'san
公丁香,gong'ding'xiang
攻坚,gong'jian
功劳木,gong'lao'mu
功劳去火片,gong'lao'qu'huo'pian
攻里,gong'li
宫宁颗粒,gong'ning'ke'li
宫外孕方,gong'wai'yun'fang
狗宝,gou'bao
狗肝菜,gou'gan'cai
狗肝草,gou'gan'cao
狗脊,gou'ji
枸橘,gou'ju
佝偻病,gou'lou'bing
狗皮膏,gou'pi'gao
枸杞,gou'qi
枸杞子,gou'qi'zi
钩藤,gou'teng
钩藤饮,gou'teng'yin
钩吻,gou'wen
固本益肠片,gu'ben'yi'chang'pian
骨痹,gu'bi
骨痹病,gu'bi'bing
故必须博极医源,gu'bi'xu'bo'ji'yi'yuan
固表止汗,gu'biao'zhi'han
谷槽风,gu'cao'feng
骨槽风病,gu'cao'feng'bing
固肠止泻,gu'chang'zhi'xie
固肠止泻丸,gu'chang'zhi'xie'wan
固冲汤,gu'chong'tang
蛊毒侵肺证,gu'du'qin'fei'zheng
固非耳目之所察,gu'fei'er'mu'zhi'suo'cha
骨节疼烦,gu'jie'teng'fan
古今录验方,gu'jin'lu'yan'fang
固精,gu'jing
谷精草,gu'jing'cao
固经丸,gu'jing'wan
骨瘤病,gu'liu'bing
谷麦芽,gu'mai'ya
谷气,gu'qi
古山龙,gu'shan'long
骨伤科瘤病,gu'shang'ke'liu'bing
固肾,gu'shen
骨疏康颗粒,gu'shu'kang'ke'li
骨碎补,gu'sui'bu
骨通贴膏,gu'tong'tie'gao
骨痿,gu'wei
故五脏六腑之盈虚,gu'wu'zang'liu'fu'zhi'ying'xu
谷芽,gu'ya
鹘眼凝睛病,gu'yan'ning'jing'bing
故医方卜筮,gu'yi'fang'bu'shi
故亦曲碎论之,gu'yi'qu'sui'lun'zhi
臌胀,gu'zhang
谷胀,gu'zhang
鼓胀,gu'zhang
臌胀病,gu'zhang'bing
骨折病,gu'zhe'bing
骨折挫伤胶囊,gu'zhe'cuo'shang'jiao'nang
骨蒸,gu'zheng
骨蒸潮热,gu'zheng'chao're
股肿病,gu'zhong'bing
瓜菜仁,gua'cai'ren
瓜蒂,gua'di
瓜姜皮,gua'jiang'pi
瓜蒌,gua'lou
瓜蒌皮,gua'lou'pi
瓜蒌仁,gua'lou'ren
瓜蒌散,gua'lou'san
瓜蒌薤白白酒汤,gua'lou'xie'bai'bai'jiu'tang
瓜蒌薤白半夏汤,gua'lou'xie'bai'ban'xia'tang
瓜蒌子,gua'lou'zi
瓜藤缠病,gua'teng'chan'bing
瓜萎根,gua'wei'gen
瓜萎仁,gua'wei'ren
瓜萎子,gua'wei'zi
瓜子金,gua'zi'jin
关白附,guan'bai'fu
关白附制白附,guan'bai'fu'zhi'bai'fu
贯防败毒饮,guan'fang'bai'du'yin
关格,guan'ge
关格病,guan'ge'bing
官桂,guan'gui
关节痛,guan'jie'tong
冠脉宁片,guan'mai'ning'pian
关木通,guan'mu'tong
冠心苏合丸,guan'xin'su'he'wan
贯仲,guan'zhong
贯众,guan'zhong
广白,guang'bai
广肠,guang'chang
广陈皮,guang'chen'pi
光慈姑,guang'ci'gu
广丹,guang'dan
广地丁,guang'di'ding
广地龙,guang'di'long
广防己,guang'fang'ji
广防已,guang'fang'yi
广藿香,guang'huo'xiang
广霍香,guang'huo'xiang
广角,guang'jiao
广金钱草,guang'jin'qian'cao
广木香,guang'mu'xiang
光桃仁,guang'tao'ren
广郁金,guang'yu'jin
光枝勾,guang'zhi'gou
鬼白,gui'bai
龟板,gui'ban
龟板胶,gui'ban'jiao
龟背,gui'bei
归草茯神远志随,gui'cao'fu'shen'yuan'zhi'sui
归草黑栀惔竹叶,gui'cao'hei'zhi'tan'zhu'ye
鬼刺,gui'ci
桂附地黄丸,gui'fu'di'huang'wan
龟甲,gui'jia
龟甲胶,gui'jia'jiao
鬼箭羽,gui'jian'yu
鬼见羽,gui'jian'yu
桂林西瓜霜,gui'lin'xi'gua'shuang
桂苓甘露饮,gui'ling'gan'lu'yin
鬼鹿二仙胶,gui'lu'er'xian'jiao
桂皮,gui'pi
归脾汤,gui'pi'tang
归脾汤用术参芪,gui'pi'tang'yong'zhu'shen'qi
归脾丸,gui'pi'wan
鬼神报之,gui'shen'bao'zhi
鬼神害之,gui'shen'hai'zhi
归肾丸,gui'shen'wan
归尾,gui'wei
归尾通经佐地龙,gui'wei'tong'jing'zuo'di'long
桂心,gui'xin
归芎地芍桂苓均,gui'xiong'di'shao'gui'ling'jun
鬼针,gui'zhen
鬼针草一包针,gui'zhen'cao'yi'bao'zhen
桂枝,gui'zhi
桂枝茯苓丸,gui'zhi'fu'ling'wan
桂枝加桂汤,gui'zhi'jia'gui'tang
桂枝加芍药汤,gui'zhi'jia'shao'yao'tang
桂枝尖,gui'zhi'jian
桂枝汤,gui'zhi'tang
桂枝汤治太阳风,gui'zhi'tang'zhi'tai'yang'feng
鬼珠,gui'zhu
滚痰丸,gun'tan'wan
果导,guo'dao
过岗龙,guo'gang'long
过路黄,guo'lu'huang
过熟期,guo'shu'qi
孩儿参,hai'er'can
孩儿茶,hai'er'cha
海枫藤,hai'feng'teng
海风藤,hai'feng'teng
海浮石,hai'fu'shi
海蛤壳,hai'ge'ke
海狗肾,hai'gou'shen
海金沙,hai'jin'sha
海金砂,hai'jin'sha
海龙,hai'long
海马,hai'ma
海螵蛸,hai'piao'xiao
海桐皮,hai'tong'pi
海芋,hai'yu
海澡,hai'zao
海藻,hai'zao
海蛰,hai'zhe
海珠喘息定,hai'zhu'chuan'xi'ding
寒痹,han'bi
汗病,han'bing
蔊菜,han'cai
汗出恶风,han'chu'e'feng
汗出恶热,han'chu'e're
汗出肤冷,han'chu'fu'leng
汗多神疲,han'duo'shen'pi
寒而冷之,han'er'leng'zhi
汉宫秋,han'gong'qiu
寒积便秘,han'ji'bian'mi
汉肌松,han'ji'song
寒厥,han'jue
寒厥病,han'jue'bing
寒厥证,han'jue'zheng
旱莲,han'lian
旱莲草,han'lian'cao
寒凉折火,han'liang'zhe'huo
寒凝胞中寒湿凝滞证,han'ning'bao'zhong'han'shi'ning'zhi'zheng
寒凝胞中阳虚内寒证,han'ning'bao'zhong'yang'xu'nei'han'zheng
寒凝胞中证,han'ning'bao'zhong'zheng
寒凝气聚证,han'ning'qi'ju'zheng
寒凝气滞证,han'ning'qi'zhi'zheng
寒凝心脉证,han'ning'xin'mai'zheng
寒凝血涩证,han'ning'xue'se'zheng
寒凝血瘀证,han'ning'xue'yu'zheng
寒凝阳衰证,han'ning'yang'shuai'zheng
寒凝瘀结证,han'ning'yu'jie'zheng
寒凝证,han'ning'zheng
旱芹,han'qin
寒热,han're
寒热并举,han're'bing'ju
寒热错杂,han're'cuo'za
寒热错杂证,han're'cuo'za'zheng
寒热发作有时,han're'fa'zuo'you'shi
寒热腹泻,han're'fu'xie
寒热互结痞证,han're'hu'jie'pi'zheng
寒热平调,han're'ping'diao
寒热相济,han're'xiang'ji
寒疝,han'shan
寒胜拘急,han'sheng'ju'ji
寒实结胸证,han'shi'jie'xiong'zheng
寒湿困脾,han'shi'kun'pi
寒湿困脾证,han'shi'kun'pi'zheng
寒湿凝聚证,han'shi'ning'ju'zheng
寒湿凝滞筋骨证,han'shi'ning'zhi'jin'gu'zheng
寒湿凝滞证,han'shi'ning'zhi'zheng
寒湿入络证,han'shi'ru'luo'zheng
韩氏医通,han'shi'yi'tong
寒湿瘀郁证,han'shi'yu'yu'zheng
寒湿瘀滞证,han'shi'yu'zhi'zheng
寒湿蕴肤证,han'shi'yun'fu'zheng
寒实证,han'shi'zheng
寒湿证,han'shi'zheng
寒实阻遏证,han'shi'zu'e'zheng
寒湿阻络证,han'shi'zu'luo'zheng
寒湿阻滞证,han'shi'zu'zhi'zheng
寒水,han'shui
寒水上泛证,han'shui'shang'fan'zheng
寒水石,han'shui'shi
寒痰证,han'tan'zheng
寒痰阻肺证,han'tan'zu'fei'zheng
汉桃叶,han'tao'ye
寒痛证,han'tong'zheng
汗为心液,han'wei'xin'ye
寒下,han'xia
寒邪,han'xie
寒邪犯肺浊阴上逆证,han'xie'fan'fei'zhuo'yin'shang'ni'zheng
寒邪犯胃证,han'xie'fan'wei'zheng
寒邪客胃证,han'xie'ke'wei'zheng
寒邪内积证,han'xie'nei'ji'zheng
寒邪内阻证,han'xie'nei'zu'zheng
寒邪凝固证,han'xie'ning'gu'zheng
寒邪偏盛证,han'xie'pian'sheng'zheng
寒邪外感证,han'xie'wai'gan'zheng
寒邪直中证,han'xie'zhi'zhong'zheng
汉医,han'yi
寒饮伏肺证,han'yin'fu'fei'zheng
寒饮射肺证,han'yin'she'fei'zheng
寒饮停肺证,han'yin'ting'fei'zheng
寒证,han'zheng
寒滞肠胃证,han'zhi'chang'wei'zheng
寒滞肝脉证,han'zhi'gan'mai'zheng
寒滞经络证,han'zhi'jing'luo'zheng
杭白菊,hang'bai'ju
行水,hang'shui
蒿本,hao'ben
耗气伤阴证,hao'qi'shang'yin'zheng
蒿芩清胆汤,hao'qin'qing'dan'tang
蒿芩清胆枳竹茹,hao'qin'qing'dan'zhi'zhu'ru
荷包草,he'bao'cao
合病,he'bing
鹤草酚,he'cao'fen
鹤草芽,he'cao'ya
荷丹片,he'dan'pian
荷蒂,he'di
荷顶,he'ding
和法,he'fa
荷梗,he'geng
合欢,he'huan
合欢花,he'huan'hua
合欢皮,he'huan'pi
和解少阳,he'jie'shao'yang
合萌,he'meng
鹤虱,he'shi
何首乌,he'shou'wu
何首乌生,he'shou'wu'sheng
核桃承气汤,he'tao'cheng'qi'tang
核桃仁,he'tao'ren
和胃,he'wei
和胃生津,he'wei'sheng'jin
鹤膝,he'xi
颌下痈病,he'xia'yong'bing
和血,he'xue
荷叶,he'ye
何以得其幽微,he'yi'de'qi'you'wei
诃子,he'zi
诃子肉,he'zi'rou
黑菜,hei'cai
黑丑,hei'chou
黑大豆,hei'da'dou
黑疸,hei'dan
黑风藤,hei'feng'teng
黑老虎根,hei'lao'hu'gen
黑蚂蚁,hei'ma'yi
黑顺片,hei'shun'pian
黑苔,hei'tai
黑锡,hei'xi
黑脂麻,hei'zhi'ma
黑芝麻,hei'zhi'ma
黑钻,hei'zuan
恒宝别直参,heng'bao'bie'zhi'can
恒古骨伤愈合剂,heng'gu'gu'shang'yu'he'ji
红斑型,hong'ban'xing
红大戟,hong'da'ji
红豆蔻,hong'dou'kou
红粉,hong'fen
红根,hong'gen
红根草,hong'gen'cao
红管药,hong'guan'yao
红蝴蝶疮病,hong'hu'die'chuang'bing
红花,hong'hua
红花甘草壳赤芍,hong'hua'gan'cao'ke'chi'shao
红绛舌,hong'jiang'she
红景天,hong'jing'tian
洪连,hong'lian
红毛七,hong'mao'qi
红毛五加皮,hong'mao'wu'jia'pi
虹桥,hong'qiao
红舌,hong'she
红参,hong'shen
红升,hong'sheng
红丝疔病,hong'si'ding'bing
红糖,hong'tang
红藤,hong'teng
红头草,hong'tou'cao
红药子,hong'yao'zi
红直须,hong'zhi'xu
喉痹,hou'bi
喉痹病,hou'bi'bing
喉病,hou'bing
喉底,hou'di
喉关,hou'guan
喉关痈病,hou'guan'yong'bing
喉菌病,hou'jun'bing
喉瘤病,hou'liu'bing
喉咙草,hou'long'cao
厚腻,hou'ni
厚朴温中汤,hou'po'wen'zhong'tang
厚朴,hou'pu
厚朴花,hou'pu'hua
后期,hou'qi
厚苔,hou'tai
猴头,hou'tou
喉癣病,hou'xuan'bing
后阴,hou'yin
喉痈,hou'yong
喉痈病,hou'yong'bing
猴枣,hou'zao
猴枣牛黄散,hou'zao'niu'huang'san
虎刺,hu'ci
呼多吸少,hu'duo'xi'shao
虎耳草,hu'er'cao
护肝宁片,hu'gan'ning'pian
护肝片,hu'gan'pian
虎骨,hu'gu
胡黄连,hu'huang'lian
狐惑病,hu'huo'bing
槲寄生,hu'ji'sheng
胡椒,hu'jiao
葫芦,hu'lu
胡芦巴,hu'lu'ba
葫芦巴,hu'lu'ba
葫芦茶,hu'lu'cha
葫芦壳,hu'lu'ke
琥珀,hu'po
狐疝病,hu'shan'bing
胡荽,hu'sui
胡桃,hu'tao
胡桃肉,hu'tao'rou
呼吸少气,hu'xi'shao'qi
护惜身命,hu'xi'shen'ming
虎仗,hu'zhang
虎杖,hu'zhang
虎掌草,hu'zhang'cao
花槟榔,hua'bing'lang
花剥苔,hua'bo'tai
化虫丸,hua'chong'wan
华盖散,hua'gai'san
花椒,hua'jiao
滑精,hua'jing
滑精病,hua'jing'bing
化橘红,hua'ju'hong
化橘红赖氏红,hua'ju'hong'lai'shi'hong
化痞,hua'pi
花蕊石,hua'rui'shi
华山参,hua'shan'can
花蛇解痒胶囊,hua'she'jie'yang'jiao'nang
滑石,hua'shi
滑石粉,hua'shi'fen
滑数,hua'shu
滑胎,hua'tai
滑苔,hua'tai
滑胎病,hua'tai'bing
化痰平喘,hua'tan'ping'chuan
化痰熄风,hua'tan'xi'feng
花翳白陷病,hua'yi'bai'xian'bing
华夷愚智,hua'yi'yu'zhi
化瘀,hua'yu
化浊排脓病自宁,hua'zhuo'pai'nong'bing'zi'ning
槐花,huai'hua
槐花槐花米,huai'hua'huai'hua'mi
槐花米,huai'hua'mi
槐花散,huai'hua'san
槐角,huai'jiao
槐米,huai'mi
怀牛膝,huai'niu'xi
淮山药,huai'shan'yao
槐实,huai'shi
淮小麦,huai'xiao'mai
缓解期,huan'jie'qi
环跳疽病,huan'tiao'ju'bing
獾油,huan'you
黄柏,huang'bai
黄臭,huang'chou
黄丹,huang'dan
黄疸,huang'dan
黄疸病,huang'dan'bing
黄豆苷元片,huang'dou'gan'yuan'pian
黄独,huang'du
黄耳伤寒病,huang'er'shang'han'bing
黄狗肾,huang'gou'shen
黄瓜,huang'gua
恍惚,huang'hu
黄金子,huang'jin'zi
黄精,huang'jing
黄荆子,huang'jing'zi
黄葵胶囊,huang'kui'jiao'nang
黄蜡,huang'la
黄连,huang'lian
黄连阿胶鸡子黄,huang'lian'e'jiao'ji'zi'huang
黄连阿胶汤,huang'lian'e'jiao'tang
黄连黄柏与秦皮,huang'lian'huang'bai'yu'qin'pi
黄连解毒柏栀芩,huang'lian'jie'du'bai'zhi'qin
黄连解毒汤,huang'lian'jie'du'tang
黄连素,huang'lian'su
黄连汤,huang'lian'tang
黄苓滑石汤,huang'ling'hua'shi'tang
黄苓汤,huang'ling'tang
黄龙汤,huang'long'tang
黄栌,huang'lu
黄毛耳草,huang'mao'er'cao
黄蘖,huang'nie
黄胖病,huang'pang'bing
黄杞,huang'qi
黄芪,huang'qi
黄芪桂枝五物汤,huang'qi'gui'zhi'wu'wu'tang
黄芪建中汤,huang'qi'jian'zhong'tang
黄芩,huang'qin
黄芩滑石汤,huang'qin'hua'shi'tang
黄芩滑石猪茯苓,huang'qin'hua'shi'zhu'fu'ling
黄芩家种,huang'qin'jia'zhong
黄芩芍药合自良,huang'qin'shao'yao'he'zi'liang
黄氏响声丸,huang'shi'xiang'sheng'wan
黄水疮病,huang'shui'chuang'bing
黄苔,huang'tai
黄藤,huang'teng
黄藤素片,huang'teng'su'pian
黄土汤,huang'tu'tang
黄宣,huang'xuan
黄杨宁片,huang'yang'ning'pian
黄药脂,huang'yao'zhi
黄药子,huang'yao'zi
黄液上冲病,huang'ye'shang'chong'bing
黄芫花,huang'yuan'hua
晦暗,hui'an
蛔虫上扰证,hui'chong'shang'rao'zheng
恢复期,hui'fu'qi
回回来,hui'hui'lai
蛔厥,hui'jue
蛔厥证,hui'jue'zheng
溃脓期,hui'nong'qi
灰苔,hui'tai
茴香,hui'xiang
回阳,hui'yang
回阳救急汤,hui'yang'jiu'ji'tang
回阳救逆,hui'yang'jiu'ni
灰指趾甲病,hui'zhi'zhi'jia'bing
混睛障病,hun'jing'zhang'bing
昏厥,hun'jue
昏溃期,hun'kui'qi
昏迷病,hun'mi'bing
火赤疮病,huo'chi'chuang'bing
火毒炽盛气血凝结证,huo'du'chi'sheng'qi'xue'ning'jie'zheng
火毒炽盛热入营血证,huo'du'chi'sheng're'ru'ying'xue'zheng
火毒炽盛证,huo'du'chi'sheng'zheng
火毒传肺证,huo'du'chuan'fei'zheng
火毒传肝证,huo'du'chuan'gan'zheng
火毒传脾证,huo'du'chuan'pi'zheng
火毒传肾证,huo'du'chuan'shen'zheng
火毒传心证,huo'du'chuan'xin'zheng
火毒窜络证,huo'du'cuan'luo'zheng
火毒攻目证,huo'du'gong'mu'zheng
火毒困结证,huo'du'kun'jie'zheng
火毒内攻证,huo'du'nei'gong'zheng
火毒内陷证,huo'du'nei'xian'zheng
火毒凝结证,huo'du'ning'jie'zheng
火毒迫血证,huo'du'po'xue'zheng
火毒入络证,huo'du'ru'luo'zheng
火毒入营证,huo'du'ru'ying'zheng
火毒上攻证,huo'du'shang'gong'zheng
火毒伤津证,huo'du'shang'jin'zheng
火毒伤阴证,huo'du'shang'yin'zheng
火毒外泄证,huo'du'wai'xie'zheng
火毒壅盛证,huo'du'yong'sheng'zheng
火毒郁结证,huo'du'yu'jie'zheng
火毒蕴结证,huo'du'yun'jie'zheng
火毒证,huo'du'zheng
火疳病,huo'gan'bing
或加沉香去肉桂,huo'jia'chen'xiang'qu'rou'gui
或加茯苓共煎尝,huo'jia'fu'ling'gong'jian'chang
或加石膏泻胃火,huo'jia'shi'gao'xie'wei'huo
或加香砂气滞使,huo'jia'xiang'sha'qi'zhi'shi
霍乱,huo'luan
霍乱论,huo'luan'lun
霍乱转筋,huo'luan'zhuan'jin
活络效灵汤,huo'luo'xiao'ling'tang
火麻仁,huo'ma'ren
霍佩兰,huo'pei'lan
藿朴夏苓汤,huo'pu'xia'ling'tang
霍朴夏苓汤,huo'pu'xia'ling'tang
藿朴夏苓有三仁,huo'pu'xia'ling'you'san'ren
火热,huo're
火热炽盛证,huo're'chi'sheng'zheng
火热扰心证,huo're'rao'xin'zheng
火热伤津证,huo're'shang'jin'zheng
火热伤阴证,huo're'shang'yin'zheng
火热邪毒壅盛证,huo're'xie'du'yong'sheng'zheng
藿砂口服液,huo'sha'kou'fu'ye
火盛伤阴证,huo'sheng'shang'yin'zheng
豁痰,huo'tan
火炭母,huo'tan'mu
藿香,huo'xiang
藿香正气滴丸,huo'xiang'zheng'qi'di'wan
藿香正气腹皮苏,huo'xiang'zheng'qi'fu'pi'su
藿香正气口服液,huo'xiang'zheng'qi'kou'fu'ye
藿香正气散,huo'xiang'zheng'qi'san
藿香正气水,huo'xiang'zheng'qi'shui
火邪,huo'xie
火邪郁结证,huo'xie'yu'jie'zheng
活血,huo'xue
活血化瘀,huo'xue'hua'yu
活血祛瘀,huo'xue'qu'yu
活血通经,huo'xue'tong'jing
活血通脉胶囊,huo'xue'tong'mai'jiao'nang
活血行瘀,huo'xue'xing'yu
肌痹,ji'bi
脊痹,ji'bi
肌痹病,ji'bi'bing
疾病,ji'bing
积病,ji'bing
既病防变,ji'bing'fang'bian
荠菜,ji'cai
荠菜花,ji'cai'hua
荠草,ji'cao
济川煎,ji'chuan'jian
季德胜蛇药片,ji'de'sheng'she'yao'pian
既非神授,ji'fei'shen'shou
急风病,ji'feng'bing
肌肤甲错,ji'fu'jia'cuo
肌肤筋骨,ji'fu'jin'gu
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
急喉痹病,ji'hou'bi'bing
急喉病,ji'hou'bing
急喉风病,ji'hou'feng'bing
急黄病,ji'huang'bing
激经,ji'jing
急惊风,ji'jing'feng
急惊风病,ji'jing'feng'bing
积聚,ji'ju
积聚病,ji'ju'bing
飢渴疲勞,ji'ke'pi'lao
积劳虚损,ji'lao'xu'sun
蒺藜,ji'li
蒺藜白蒺藜,ji'li'bai'ji'li
檵木叶,ji'mu'ye
鸡内金,ji'nei'jin
肌热烦渴,ji're'fan'ke
急热惊风,ji're'jing'feng
急乳蛾病,ji'ru'e'bing
肌若鱼鳞,ji'ruo'yu'lin
济生方,ji'sheng'fang
济湿病,ji'shi'bing
鸡矢藤,ji'shi'teng
及巳,ji'si
鸡苏散,ji'su'san
鸡头,ji'tou
急投此方可回阳,ji'tou'ci'fang'ke'hui'yang
肌痿,ji'wei
急下存阴,ji'xia'cun'yin
吉祥草,ji'xiang'cao
急性肾衰,ji'xing'shen'shuai
急性子,ji'xing'zi
鸡胸,ji'xiong
悸眩瞤惕急煎尝,ji'xuan'run'ti'ji'jian'chang
积雪草,ji'xue'cao
鸡血藤,ji'xue'teng
鸡血藤颗粒,ji'xue'teng'ke'li
疾医,ji'yi
积瘀化热证,ji'yu'hua're'zheng
急躁易怒,ji'zao'yi'nu
积滞病,ji'zhi'bing
及治病三年,ji'zhi'bing'san'nian
积滞伤胃证,ji'zhi'shang'wei'zheng
瘕病,jia'bing
加减复脉汤,jia'jian'fu'mai'tang
加减葳蕤汤,jia'jian'wei'rui'tang
加减运用在胸中,jia'jian'yun'yong'zai'xiong'zhong
瘕聚,jia'ju
瘕块硬结,jia'kuai'ying'jie
加入人参气津生,jia'ru'ren'shen'qi'jin'sheng
加味肾气丸,jia'wei'shen'qi'wan
加味乌药汤,jia'wei'wu'yao'tang
加味逍遥散,jia'wei'xiao'yao'san
加用香砂气滞使,jia'yong'xiang'sha'qi'zhi'shi
甲鱼骨,jia'yu'gu
加枣同煎名四七,jia'zao'tong'jian'ming'si'qi
肩痹,jian'bi
见彼苦恼,jian'bi'ku'nao
见愁,jian'chou
茧唇口,jian'chun'kou
碱花,jian'hua
