白环俞,bai'huan'shu
劳宫穴,lao'gong'xue
历兑,li'dui
历兑穴,li'dui'xue
蠡沟,li'gou
蠡沟穴,li'gou'xue
廉泉,lian'quan
廉泉穴,lian'quan'xue
梁门,liang'men
梁门穴,liang'men'xue
梁丘,liang'qiu
梁丘穴,liang'qiu'xue
列缺,lie'que
列缺穴,lie'que'xue
灵道,ling'dao
灵道穴,ling'dao'xue
灵台,ling'tai
灵台穴,ling'tai'xue
灵墟,ling'xu
灵墟穴,ling'xu'xue
漏谷,lou'gu
漏谷穴,lou'gu'xue
颅息,lu'xi
颅息穴,lu'xi'xue
络却,luo'que
络却穴,luo'que'xue
率谷,lv'gu
率谷穴,lv'gu'xue
眉冲,mei'chong
眉冲穴,mei'chong'xue
命门,ming'men
命门穴,ming'men'xue
目窗,mu'chuang
目窗穴,mu'chuang'xue
脑户,nao'hu
脑户穴,nao'hu'xue
臑会,nao'hui
臑会穴,nao'hui'xue
脑空,nao'kong
脑空穴,nao'kong'xue
臑俞,nao'shu
臑俞穴,nao'shu'xue
内关,nei'guan
内关穴,nei'guan'xue
内庭,nei'ting
内庭穴,nei'ting'xue
膀胱俞,pang'guang'shu
膀胱俞穴,pang'guang'shu'xue
脾俞,pi'shu
脾俞穴,pi'shu'xue
偏历,pian'li
偏历穴,pian'li'xue
魄户,po'hu
魄户穴,po'hu'xue
仆参,pu'can
仆参穴,pu'can'xue
气冲,qi'chong
气冲穴,qi'chong'xue
气海,qi'hai
气海俞,qi'hai'shu
气海俞穴,qi'hai'shu'xue
气海穴,qi'hai'xue
气户,qi'hu
气户穴,qi'hu'xue
期门,qi'men
期门穴,qi'men'xue
气舍,qi'she
气舍穴,qi'she'xue
气穴,qi'xue
气穴穴,qi'xue'xue
前顶,qian'ding
前顶穴,qian'ding'xue
前谷,qian'gu
前谷穴,qian'gu'xue
强间,qiang'jian
强间穴,qiang'jian'xue
清冷渊,qing'leng'yuan
清冷渊穴,qing'leng'yuan'xue
青灵,qing'ling
青灵穴,qing'ling'xue
丘墟,qiu'xu
丘墟穴,qiu'xu'xue
曲鬓,qu'bin
曲鬓穴,qu'bin'xue
曲差,qu'cha
曲差穴,qu'cha'xue
曲池,qu'chi
曲池穴,qu'chi'xue
曲骨,qu'gu
曲骨穴,qu'gu'xue
曲泉,qu'quan
曲泉穴,qu'quan'xue
曲垣,qu'yuan
曲垣穴,qu'yuan'xue
曲泽,qu'ze
曲泽穴,qu'ze'xue
颧髎,quan'liao
颧髎穴,quan'liao'xue
缺盆,que'pen
缺盆穴,que'pen'xue
然谷,ran'gu
然谷穴,ran'gu'xue
人迎,ren'ying
人迎穴,ren'ying'xue
日月,ri'yue
日月穴,ri'yue'xue
乳根,ru'gen
乳根穴,ru'gen'xue
乳中,ru'zhong
乳中穴,ru'zhong'xue
三间,san'jian
三间穴,san'jian'xue
三焦俞,san'jiao'shu
三焦俞穴,san'jiao'shu'xue
三阳络,san'yang'luo
三阳络穴,san'yang'luo'xue
三阴交,san'yin'jiao
三阴交穴,san'yin'jiao'xue
上关,shang'guan
上关穴,shang'guan'xue
上巨虚,shang'ju'xu
上巨虚穴,shang'ju'xu'xue
上廉,shang'lian
上廉穴,shang'lian'xue
上髎,shang'liao
上髎穴,shang'liao'xue
商丘,shang'qiu
商丘穴,shang'qiu'xue
