底本质量,di'ben'zhi'liang
第二辑,di'er'ji
地理志,di'li'zhi
第三辑,di'san'ji
第四辑,di'si'ji
第五辑,di'wu'ji
递修,di'xiu
递修本,di'xiu'ben
第一辑,di'yi'ji
第一流,di'yi'liu
殿本,dian'ben
典藏,dian'cang
典藏本,dian'cang'ben
点校,dian'jiao
点校版,dian'jiao'ban
点校本,dian'jiao'ben
点校错误,dian'jiao'cuo'wu
点校问题,dian'jiao'wen'ti
点校者,dian'jiao'zhe
点校整理,dian'jiao'zheng'li
点校注释,dian'jiao'zhu'shi
电子工业出版社,dian'zi'gong'ye'chu'ban'she
雕版,diao'ban
订补,ding'bu
丁集,ding'ji
鼎文书局,ding'wen'shu'ju
订误,ding'wu
东方出版社,dong'fang'chu'ban'she
东方出版中心,dong'fang'chu'ban'zhong'xin
东方书店,dong'fang'shu'dian
东莞历代著作丛书,dong'guan'li'dai'zhu'zuo'cong'shu
东华书局,dong'hua'shu'ju
东渐,dong'jian
东京大学出版会,dong'jing'da'xue'chu'ban'hui
东京堂,dong'jing'tang
豆瓣书店,dou'ban'shu'dian
读书笔记,du'shu'bi'ji
杜泽逊,du'ze'xun
读者服务部,du'zhe'fu'wu'bu
断代,duan'dai
段注,duan'zhu
对校,dui'jiao
对勘,dui'kan
敦煌本,dun'huang'ben
敦煌学,dun'huang'xue
俄罗斯数学教材选译,e'luo'si'shu'xue'jiao'cai'xuan'yi
二编,er'bian
二集,er'ji
二校,er'jiao
二十世纪儒学大师文库,er'shi'shi'ji'ru'xue'da'shi'wen'ku
二十世纪诗词名家别集丛书,er'shi'shi'ji'shi'ci'ming'jia'bie'ji'cong'shu
二十世纪西方哲学译丛,er'shi'shi'ji'xi'fang'zhe'xue'yi'cong
二十四史,er'shi'si'shi
二十四史校订研究丛刊,er'shi'si'shi'jiao'ding'yan'jiu'cong'kan
二玄社,er'xuan'she
二印,er'yin
法灯,fa'deng
法律出版社,fa'lv'chu'ban'she
发微,fa'wei
法物流通处,fa'wu'liu'tong'chu
翻雕,fan'diao
藩府,fan'fu
梵汉对勘,fan'han'dui'kan
翻刻,fan'ke
繁体版,fan'ti'ban
繁体横排,fan'ti'heng'pai
繁体竖排,fan'ti'shu'pai
坊刻,fang'ke
放书,fang'shu
方言志,fang'yan'zhi
方印,fang'yin
方音,fang'yin
方志,fang'zhi
方志出版社,fang'zhi'chu'ban'she
方庄书店,fang'zhuang'shu'dian
飞鸟时代,fei'niao'shi'dai
坟典,fen'dian
凤凰出版社,feng'huang'chu'ban'she
封禅,feng'shan
风俗通,feng'su'tong
风俗通义,feng'su'tong'yi
复旦大学出版社,fu'dan'da'xue'chu'ban'she
覆核,fu'he
福建教育出版社,fu'jian'jiao'yu'chu'ban'she
福建莆田广化寺,fu'jian'pu'tian'guang'hua'si
福建人民出版社,fu'jian'ren'min'chu'ban'she
复校,fu'jiao
覆勘,fu'kan
覆刻,fu'ke
覆刻本,fu'ke'ben
浮靡,fu'mi
扶桑社,fu'sang'she
傅璇琮,fu'xuan'cong
傅增湘,fu'zeng'xiang
赅洽,gai'qia
改造社,gai'zao'she
甘肃人民出版社,gan'su'ren'min'chu'ban'she
港版,gang'ban
稿本,gao'ben
稿抄本,gao'chao'ben
稿钞本,gao'chao'ben
高等教育出版社,gao'deng'jiao'yu'chu'ban'she
工尺,gong'che
工尺谱,gong'che'pu
公牍,gong'du
公孙龙子,gong'sun'long'zi
购书清单,gou'shu'qing'dan
沟洫,gou'xu
沟洫志,gou'xu'zhi
购于,gou'yu
古版,gu'ban
古本,gu'ben
孤本,gu'ben
古抄本,gu'chao'ben
古钞本,gu'chao'ben
古代字书辑刊,gu'dai'zi'shu'ji'kan
古坟,gu'fen
古坟时代,gu'fen'shi'dai
古籍出版社,gu'ji'chu'ban'she
古籍鉴定,gu'ji'jian'ding
古籍刻印社,gu'ji'ke'yin'she
古籍书店,gu'ji'shu'dian
古籍资料,gu'ji'zi'liao
古今体诗,gu'jin'ti'shi
古近体诗,gu'jin'ti'shi
古旧书,gu'jiu'shu
古旧书店,gu'jiu'shu'dian
古谱,gu'pu
古器物,gu'qi'wu
诂释,gu'shi
古体小说,gu'ti'xiao'shuo
顾廷龙,gu'ting'long
古训,gu'xun
诂训,gu'xun
古逸,gu'yi
古佚书,gu'yi'shu
古逸书,gu'yi'shu
古印,gu'yin
古音,gu'yin
古注,gu'zhu
馆藏,guan'cang
馆藏书,guan'cang'shu
馆臣,guan'chen
馆阁,guan'ge
馆阁体,guan'ge'ti
官刻,guan'ke
官库,guan'ku
管窥,guan'kui
馆书,guan'shu
关学,guan'xue
广东人民出版社,guang'dong'ren'min'chu'ban'she
广化寺,guang'hua'si
广陵书社,guang'ling'shu'she
光明日报出版社,guang'ming'ri'bao'chu'ban'she
广释,guang'shi
光文社,guang'wen'she
广文书局,guang'wen'shu'ju
广西地方古籍整理研究丛书,guang'xi'di'fang'gu'ji'zheng'li'yan'jiu'cong'shu
广西教育出版社,guang'xi'jiao'yu'chu'ban'she
广西师范大学出版社,guang'xi'shi'fan'da'xue'chu'ban'she
光宣,guang'xuan
广益书局,guang'yi'shu'ju
广韵,guang'yun
庋藏,gui'cang
圭臬,gui'nie
贵州人民出版社,gui'zhou'ren'min'chu'ban'she
郭店楚简,guo'dian'chu'jian
国家清史编纂委员会,guo'jia'qing'shi'bian'zuan'wei'yuan'hui
